cid,pid,lid,cgid,cgname
179,1040,79100,2,Men's Apparel
179,1051,77940,18,Jewelry & Watches
179,4973,99382,45,Gift Store
179,4976,99385,44,Auto/Motorcycle Dealer
179,4979,99685,41,Grocery/Supermarket
179,4986,99889,10,Food & Beverage
179,4987,99489,10,Food & Beverage
179,4991,20188,18,Jewelry & Watches
179,5014,99508,3,Women's Apparel
179,5014,99508,2,Men's Apparel
179,5016,99510,3,Women's Apparel
179,5019,100290,3,Women's Apparel
179,5025,99516,16,Sports Accessories
179,5025,99516,6,Sport Apparel
179,5032,100499,3,Women's Apparel
179,5043,99532,2,Men's Apparel
179,5043,99532,5,Men's Accessory
179,5052,19970,51,Shoes
179,5076,77931,10,Food & Beverage
179,5083,79449,3,Women's Apparel
179,5109,99571,10,Food & Beverage
179,5126,20090,3,Women's Apparel
179,5126,20090,4,Women's Accessory
179,5126,20090,2,Men's Apparel
179,5126,20090,5,Men's Accessory
179,5127,20014,3,Women's Apparel
179,5158,20323,3,Women's Apparel
179,5158,20323,51,Shoes
179,5158,20323,2,Men's Apparel
179,5181,99605,12,Eyeware
179,5219,79772,4,Women's Accessory
179,5220,20022,3,Women's Apparel
179,5222,20014,3,Women's Apparel
179,5256,100240,2,Men's Apparel
179,5256,100240,5,Men's Accessory
179,5257,100241,10,Food & Beverage
179,5258,100242,10,Food & Beverage
179,5266,100491,10,Food & Beverage
179,5296,19976,3,Women's Apparel
179,5296,19976,2,Men's Apparel
179,5297,102012,2,Men's Apparel
179,5297,102012,5,Men's Accessory
179,5321,102026,51,Shoes
179,5332,77935,10,Food & Beverage
179,5373,20090,3,Women's Apparel
179,5373,20090,4,Women's Accessory
179,5373,20090,2,Men's Apparel
179,5373,20090,5,Men's Accessory
179,5597,106312,14,Home & Furnishing
179,5598,106313,3,Women's Apparel
179,5598,106313,2,Men's Apparel
179,8094,109661,10,Food & Beverage
179,8100,109666,33,Medical Facility
179,13027,115660,3,Women's Apparel
179,13027,115660,2,Men's Apparel
179,13526,115906,10,Food & Beverage
179,14009,116139,18,Jewelry & Watches
179,14010,116140,10,Food & Beverage
179,14011,116141,10,Food & Beverage
179,14640,116568,67,Convenience Store
179,14641,116569,67,Convenience Store
179,14645,116572,46,Gas Station
179,14651,116576,50,Showroom
179,14677,116590,15,Pets
179,14683,116594,3,Women's Apparel
179,14683,116594,2,Men's Apparel
179,14683,116594,1,Children's Apparel
179,14692,116602,51,Shoes
179,15345,117066,12,Eyeware
179,15554,117182,12,Eyeware
179,15559,19951,51,Shoes
179,15565,117192,3,Women's Apparel
179,15571,117197,10,Food & Beverage
179,15572,117198,10,Food & Beverage
179,15573,117199,33,Medical Facility
179,19109,116594,3,Women's Apparel
179,19109,116594,2,Men's Apparel
179,19109,116594,1,Children's Apparel
179,19174,120294,10,Food & Beverage
179,19176,115906,10,Food & Beverage
179,19191,117199,33,Medical Facility
179,19194,116602,51,Shoes
179,19195,116602,51,Shoes
179,19207,115660,3,Women's Apparel
179,19207,115660,2,Men's Apparel
179,19208,116572,46,Gas Station
179,19210,116569,67,Convenience Store
179,19211,116568,67,Convenience Store
179,19216,120329,10,Food & Beverage
179,19225,116141,10,Food & Beverage
179,19228,115667,9,Music
179,19228,115667,8,Electronics
179,19320,120411,32,Printing/Copy/Postal
179,19322,116576,50,Showroom
179,19327,109661,10,Food & Beverage
179,19328,120419,10,Food & Beverage
179,19329,120419,10,Food & Beverage
179,19333,120423,10,Food & Beverage
179,19374,120449,11,Beauty & Spa
179,19376,116139,18,Jewelry & Watches
179,19381,120456,10,Food & Beverage
179,19385,120460,44,Auto/Motorcycle Dealer
179,19392,120466,67,Convenience Store
179,19393,120468,10,Food & Beverage
179,19394,120468,10,Food & Beverage
179,19397,106313,3,Women's Apparel
179,19397,106313,2,Men's Apparel
179,19401,106312,14,Home & Furnishing
179,19402,106312,14,Home & Furnishing
179,19404,116139,18,Jewelry & Watches
179,19407,120480,10,Food & Beverage
179,19416,120489,33,Medical Facility
179,19429,120411,32,Printing/Copy/Postal
179,19438,116576,50,Showroom
