cid,cn,pic,bid,bn,pc,prjs,citys,malls,brands,bcatgs,nr,ar,ip,pr,un,countryid,statecode,otherstate,city,streetname,zipcode
806,Center Stage Productions,806_1439392005_Center_Stage_Productions.png,38,Digital Printing & Graphics,1,[],[],[],[],[],1,5.00,0,1,Brenda Tietjen,231,NJ,,Fair Lawn,20-10 Maple Avenue,07410
1908,Morphosis,1908_1468425234_Morphosis.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,Morphosis .,231,NY,,New York,"153 West 27th Street, Suite 1200 ",10001
839,Lochsa Engineering,839_1441761137_Lochsa_Engineering.png,22,Structural Engineering,1,[],[],[],[],[],0,0.00,0,1,Riley Mahaffey,231,ID,,Boise,"201 North Maple Grove Road, Suite 100",83704
3783,acdp Consulting LLC,no-image.png,636,Project Management / Owner Representative Services,1,[],[],[],[],[],1,5.00,0,1,Alberto Dellepiane,231,NY,,Brooklyn ,15th Street ,11215
1967,"J.A. Stowell Construction, Inc.",1967_1470065843_J.A._Stowell_Construction_Inc._(JAS).png,7,General Contractor,1,[],[],[],[],[],0,0.00,0,1,Jim Arnold,231,CA,,Costa Mesa,"1565 Scenic Avenue, Suite A ",92626
878,D&R Glass Inc,878_1443135938_D_&_R_Glass_Inc.png,8,Glass & Store Front,1,[],[],[],[],[],1,5.00,0,1,Richard Scott,231,CA,,Rancho Cucamonga,8687 Utica Ave ,91730
146,Gensler,146_1425657576_Gensler.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,David Gensler,231,NY,,New York,1700 Broadway,10019
3940,Circle K,3940_1539894663_Circle_K.jpeg,192,Construction Manager,1,[],[],[],[],[],0,0.00,0,2,Eric Sartain,231,TX,,Mckinney,,
2081,GH+A,2081_1476884206_GH+A.jpg,95,Retail Designers,1,[],[],[],[],[],0,0.00,0,1,GH+A design studios,231,MI,,Detroit,"409 East Jefferson Avenue, 6th floor",48226
955,"Richardson Design, LLC","955_1445899883_Richardson_Design,_LLC.png",51,Interior Design,1,[],[],[],[],[],0,0.00,0,1,Scott Richardson,231,OH,,Cleveland,"2570 Superior Ave, Suite 500 ",44114
4753,Swarovski,4753_1558787925_Swarovski.jpeg,105,Project Manager,1,[],[],[],[],[],0,0.00,0,2,Carlos Ocariz,231,FL,,Miami,,
2216,RJ Martin National Contracting,2216_1485282583_RJ_Martin_National_Contracting.PNG,4,Electrical Systems,1,[],[],[],[],[],0,0.00,0,1,Timothy Martin,231,SC,,Charleston,225 Seven Farms Drive,29492
1122,Castles Design Group,1122_1450877579_Castles_Design_Group.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,Castles  Design Group,231,TX,,Houston,"3801 Kirby Drive Suite, 600 Houston",77098
11028,MGS TRADE ,11028_1680013645_MGSTRADE.jpg,7728,President &amp; CEO,1,[],[],[],[],[],0,0.00,0,2,Giuseppe Mattia,231,FL,,Delray Beach,,
45,ESSEQUATTRO USA Inc.,45_1430674413_ESSEQUATTRO.png,15,Millwork Production &amp; Installation,1,[],[],[],[],[],0,0.00,0,1,Essequattro USA,231,NY,New York,New York,1 Little West 12th street,10014
1280,"SPACE CITY CONSTRUCTION, INC","1280_1455056298_SPACE_CITY_CONSTRUCTION,_INC.png",7,General Contractor,1,[],[],[],[],[],0,0.00,0,1,"SPACE  CITY CONSTRUCTION, INC",231,TX,,Houston,12712 Hempstead Rd ,77092
344,Uli Wagner Design Lab,344_1426123736_Uli_Wagner_LLC.png,51,Interior Design,1,[],[],[],[],[],0,0.00,0,1,Uli Wagner,231,NY,,Brooklyn,279 Vanderbilt Avenue,11205
57,Arredoquattro Industrie spa,57_1407937116_Arredoquattro_Industrie_spa.png,15,Millwork Production &amp; Installation,1,[],[],[],[],[],0,0.00,0,1,Marco Vegetti,106,,Bologna,Budrio,"Via A. Sarti, 4 I",40054
2331,LisarUSA,no-image.png,15,Millwork Production &amp; Installation,1,[],[],[],[],[],0,0.00,0,1,Antonio Sullo,231,NY,,New York ,202 W 40th st. ,10018
430,anderson architects,430_1427322225_anderson_architects.png,1,Architecture &amp; Design,1,[],[],[],[],[],1,5.00,0,1,Ross S. Anderson,231,NY,,New York,467 greenwich street,10013
1590,KA Architecture,1590_1460744786_KA_Architecture.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,KA  Architecture,231,OH,,Cleveland,6000 lombardo center #500 ,44131
76,Tricarico Architecture and Design PC,76_1609777560_TricaricoArchitectureandDesignPC.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,Sara Brisolla,231,NJ,,Wayne,502 Valley Rd,07470
2690,Van Cleef & Arpels,2690_1508167961_Van_Cleef_&_Arpels.png,125,Project Manager - Store Planning & Construction,1,[],[],[],[],[],0,0.00,0,2,Paula Acosta,231,NY,,New York,,
757,Richard H. Lewis Architect,757_1437005073_Richard_H._Lewis_Architect.png,1,Architecture &amp; Design,1,[],[],[],[],[],0,0.00,0,1,Richard H. Lewis,231,NY,,New York,444 Central Park West Suite 12E,10025 
2780,"Alta Construction, Inc.",2780_1508784129_Trainor_Commercial_Construction.png,115,Director of Construction,1,[],[],[],[],[],0,0.00,0,2,Patrick Johnson,231,TX,,Dallas,,
1843,"Star Construction, Inc.","1843_1466597446_Star_Construction,_Inc..png",7,General Contractor,1,[],[],[],[],[],0,0.00,0,1,Clay Gooden,231,NM,,Albuquerque,8912 Adams NE,87113
