cid,pid,lid,bid,brand,mid,mall,st,city,area,sc,ip
179,4976,99385,26903,O'Reilly Auto Parts,0,,12421 Tidwell Road,Houston Tx,Houston,TX,0
179,4973,99382,3372,Five Below,6669,Westchase Shopping Center,7601 Westheimer Rd.,Houston Tx,GENAREA,TX,0
179,1051,77940,1746,Helzberg Diamonds,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
179,1040,79100,290,FOREVER 21,5771,Houston Pavilions,1201 Main Street,Houston Tx,GENAREA,TX,0
179,1022,77901,290,FOREVER 21,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
179,996,20014,2485,L.K. Bennett,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
198,15221,116973,33839,Churrascos,0,,9705 Westheimer Rd,Houston Tx,,TX,0
198,15219,116971,33839,Churrascos,0,,947 Gessner Rd,Houston Tx,,TX,0
203,1261,79782,2,MIUMIU,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
203,1260,79772,1,PRADA,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
227,15633,107029,80,CARTIER,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
234,1284,77859,5107,Foot Locker/House of Hoop,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
234,1279,77967,1656,Build-A-Bear Workshop,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
240,22973,20099,31,JIMMY CHOO,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
240,13217,115724,536,John Varvatos,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
241,1292,77967,1656,Build-A-Bear Workshop,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
241,1290,77859,5107,Foot Locker/House of Hoop,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
263,15613,20032,16,Tory Burch,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
263,14185,116240,33679,St. John Knits,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
344,15055,116828,198,Proenza Schouler,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
346,18793,119935,26905,DD's Discounts,0,,6830 Harrisburg Blvd,Houston Tx,Houston,TX,0
403,2009,83723,23210,Jerry Built,0,,3501 W Holcombe Blvd,Houston Tx,,TX,0
430,2107,84565,1993,OshKosh B'gosh,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
446,15433,107010,144,HERMES,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
463,4933,79782,2,MIUMIU,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
463,4888,79772,1,PRADA,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
463,4881,20263,1,PRADA,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
595,3359,19954,282,Kenneth Cole,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
757,15476,107018,95,DOLCE & GABBANA,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
773,13042,115667,2750,Guitar Center,0,,8390 Westheimer Rd,Houston Tx,Houston,TX,0
806,14984,116780,21102,Cibo,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
837,5751,106491,28736,Rice University,0,,6100 Main St,Houston Tx,Houston,TX,0
839,5794,79451,605,Anthropologie,5775,Highland Village,4055 Westheimer Road,Houston Tx,GENAREA,TX,0
859,5958,106582,28794,MD Anderson Cancer Center,0,,1515 Holcombe Blvd ,Houston Tx,,TX,0
871,6817,107013,431,Stella McCartney,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
878,16638,20248,169,Kate Spade,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
914,16203,117453,33819,b8ta,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
914,15405,117105,701,The Art of Shaving,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
955,16852,118225,34240,Aramark/Houston Texans NRG Stadium Club Level,0,,NRG Parkway,Houston Tx,,TX,0
976,14006,116137,19777,John Hardy,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
984,6785,107019,224,ETRO,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
1016,14570,20038,430,Wolford,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
1016,14127,107013,431,Stella McCartney,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
1020,15633,107029,80,CARTIER,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
1099,7357,108087,29580,John Eagle Acura ,0,,"16015 Katy Fwy,",Houston Tx,Houston,TX,0
1099,7350,108082,40,Lord & Taylor,5746,Memorial City Mall,303 Memorial City,Houston Tx,Houston,TX,0
1122,7412,108186,1736,McDonald's,0,,11323 Fuqua St,Houston Tx,Houston,TX,0
1157,16852,118225,34240,Aramark/Houston Texans NRG Stadium Club Level,0,,NRG Parkway,Houston Tx,,TX,0
1249,7872,109108,29982,Kendall Neighborhood Library,0,,609 N. Eldridge Pkwy,Houston Tx,Houston,TX,0
1250,7876,109111,23226,H-E-B,0,,5225 Buffalo Speedway,Houston Tx,Houston,TX,0
1250,7875,109110,23226,H-E-B,0,,1801 E 51st St,Houston Tx,Houston,TX,0
1251,7882,109116,29987,Azur Salon at West Ave,0,,2800 Kirby Dr #216,Houston Tx,Houston,TX,0
1251,7881,109115,29986,Momentum BMW,0,,10002 Southwest Fwy,Houston Tx,Houston,TX,0
1251,7880,109114,29985,FiveSeven Grille,0,,501 Crawford St,Houston Tx,Houston,TX,0
1253,7886,109118,29989,Brown College,0,,9 Sunset Blvd.,Houston Tx,Houston,TX,0
1253,7885,109117,29988,Solari Hospice Care,0,,9714 S Gessner Rd,Houston Tx,Houston,TX,0
1280,7967,109472,30132,Sousan Med Spa,0,,3231 Audley St,Houston Tx,Houston,TX,0
1333,15359,20224,7,Bottega Veneta,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
1469,8693,110715,30846,Patterson Elementary School,0,,5302 Allendale Rd,Houston Tx,Houston,TX,0
1469,8692,110714,30845,Metropolitan CME Church,0,,8955 South Fwy,Houston Tx,Houston,TX,0
1538,9422,112814,31479,Caliber Collision Centers,0,,6409 Richmond Ave,Houston Tx,Houston,TX,0
1538,9319,112431,31479,Caliber Collision Centers,0,,6409 Richmond Ave,Houston Tx,Houston,TX,0
1538,9316,20281,100,Apple Store,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
1588,9332,112431,31479,Caliber Collision Centers,0,,6409 Richmond Ave,Houston Tx,Houston,TX,0
1590,9341,19932,75,Saks Fifth Avenue,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
1604,18793,119935,26905,DD's Discounts,0,,6830 Harrisburg Blvd,Houston Tx,Houston,TX,0
1810,10622,100279,27104,Brooke Feather,6696,River Oaks Shopping Center,1964 W Gray St,Houston Tx,GENAREA,TX,0
1810,10621,113936,21618,Mercantil Commercebank,0,,5897 San Felipe St,Houston Tx,Houston,TX,0
1810,10619,113934,21618,Mercantil Commercebank,0,,10143 Louetta Rd,Houston Tx,Houston,TX,0
1810,10614,107020,18,Moncler,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
1810,10613,107007,185,AKRIS,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
1819,10673,113973,32391,Urban Crave,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
1819,10672,113972,32390,Bluwire,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
1821,10681,107036,734,Diptyque,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
1825,16203,117453,33819,b8ta,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
1843,10878,114129,32482,Suburban Extended Stay ,0,,13125 FM 1960,Houston Tx,Houston,TX,0
1866,11029,114228,32557,A.D. Players Theater,0,,2710 W Alabama St,Houston Tx,Houston,TX,0
1866,11027,114226,32555,Chateau Domingue,0,,3615 W Alabama St,Houston Tx,Houston,TX,0
1908,11427,114490,32693,Museum of Fine Arts,0,,1001 Bissonnet St,Houston Tx,Houston,TX,0
1930,11626,114607,2357,The Capital Grille,6692,Citycentre Plaza,800 Sorella Ct,Houston Tx,,TX,0
1941,11697,114655,32828,Jerry Built Homegrown Burgers,0,,3501 W Holcombe Blvd,Houston Tx,Houston,TX,0
1967,11841,107015,128,CANALI,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
2001,15892,20166,12,Bulgari ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2055,12376,115164,33172,The Palm,0,,6100 Westheimer Rd,Houston Tx,Houston,TX,0
2081,15113,116875,33827,The Webster,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2106,22916,122932,3986,Brahmin,6692,Citycentre Plaza,800 Sorella Ct,Houston Tx,,TX,0
2106,12772,115458,33408,CAT CORA'S KITCHEN,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
2155,14533,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2216,14137,116202,34693,CVS Pharmacy,0,,3939 Bellaire Blvd,Houston Tx,Houston,TX,0
2235,14137,116202,34693,CVS Pharmacy,0,,3939 Bellaire Blvd,Houston Tx,Houston,TX,0
2298,16492,19974,237,TOD'S,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2315,14571,20038,430,Wolford,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2331,9605,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2373,23961,20270,59,SWAROVSKI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2623,15940,20224,7,Bottega Veneta,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2626,24882,123819,9,Dior ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2626,24263,123819,9,Dior ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2626,24262,79675,75,Saks Fifth Avenue,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
2626,24261,79675,75,Saks Fifth Avenue,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
2665,15941,20224,7,Bottega Veneta,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2676,15950,19990,118,Burberry,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2690,15983,107032,971,Van Cleef & Arpels,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
2692,15990,117379,169,Kate Spade,5775,Highland Village,4055 Westheimer Road,Houston Tx,GENAREA,TX,0
2747,16054,20229,115,COACH,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
2780,16073,117396,2277,Restoration Hardware,5775,Highland Village,4055 Westheimer Road,Houston Tx,GENAREA,TX,0
3092,16638,20248,169,Kate Spade,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
3126,16780,77897,284,American Eagle Outfitters,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
3126,16777,118059,34183,Emser Tile,0,,12850 Fuqua St,Houston Tx,,TX,0
3211,23963,20270,59,SWAROVSKI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
3662,18758,119903,34561,La Portrait Boutique,0,,130 Vintage Park Blvd,Houston Tx,Houston,TX,0
3783,23132,20099,31,JIMMY CHOO,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
3791,23965,20270,59,SWAROVSKI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
3939,20736,120624,25505,Pick Up Stix,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
3939,20735,117198,4506,Potbelly Sandwich Shop,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
3939,20734,117197,3242,Wendy's,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
3940,20737,120621,25309,Circle K,0,,12602 E. Freeway,Houston Tx,,TX,0
3943,20744,120574,29297,Aldi,0,,9870 Louetta Road,Houston Tx,,TX,0
4291,23097,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
4753,23962,20270,59,SWAROVSKI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
6235,23993,123619,35342,Coterie,0,,737 Preston St.,Houston Tx,Houston,TX,0
11028,25081,20088,96,GIORGIO ARMANI ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
