cid,pid,lid,bid,brand,mid,mall,st,city,area,sc,ip
91,25023,20088,96,GIORGIO ARMANI ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
91,16065,117394,2257,AG Adriano Goldschmied,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
91,14185,116240,33679,St. John Knits,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
91,14184,116239,26710,AG Jeans,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
91,13363,115817,1309,SoulCycle,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
91,10815,114073,32451,Steak 48,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
91,10812,114070,32448,State of Grace,0,,3258 Westheimer Rd,Houston Tx,Houston,TX,1
91,4717,20168,227,DAVID YURMAN,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
91,4716,20185,97,Tiffany & Co.,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
91,4633,20224,7,Bottega Veneta,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
98,23789,123460,35299,Veronica Beard,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
98,14106,20179,17,Omega ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
98,14102,19990,118,Burberry,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
98,14074,20214,91,MAC Cosmetics,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
98,624,20179,17,Omega ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
98,623,19990,118,Burberry,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
147,18144,119381,6,GUCCI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
225,24882,123819,9,Dior ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
225,24263,123819,9,Dior ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
225,16698,20263,1,PRADA,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
516,13125,107002,10,Roberto Cavalli ,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
750,18022,119280,34427,CASA for Giorgetti ,0,,"2800 Kirby Drive, Suite B-100 Houston, Texas 77098",Houston Tx,,TX,1
810,24742,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
810,15892,20166,12,Bulgari ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
937,15476,107018,95,DOLCE & GABBANA,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
937,15308,20224,7,Bottega Veneta,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
937,7228,107009,9,Dior ,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
937,7215,107922,718,Alexander McQueen,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,1
1487,25316,115674,438,Saint Laurent,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,1
1487,13054,115674,438,Saint Laurent,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,1
1487,9327,20252,98,LOUIS VUITTON,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
2129,16231,20089,6,GUCCI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
2150,25193,123819,9,Dior ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
2163,23964,20270,59,SWAROVSKI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
2163,17686,118984,505,Maje,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
2163,17685,118983,531,Sandro,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
2163,17663,118961,59,SWAROVSKI,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,1
2288,24297,123835,355,Balenciaga,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
2288,24119,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
2295,14533,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
